,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,type,,,val,,,
,,,,,,,,,qnan,,,0x7FC80000,,,
,,,,,,,,,snan,,,0xFFA00000,,,
,,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,,normal,,,0x3FC00001,,,
,,,,,,,,,normal_1,,,0x3FC00000,,,
,,,,,,,,,-normal,,,0xBFC00000,,,
,,,,,,,,,subnormal,,,0x00400000,,,
,,,,,,,,,subnormal_1,,,0x00400001,,,
,,,,,,,,,-subnormal,,,0x80400000,,,
,,,,,,,,,,,,,,,
,,,,,,,,,test,,,,,,
,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,snan,,normal,,0,,
,,,,,,,,,qnan,,normal,,0,,
,,,,,,,,,normal,,snan,,0,,
,,,,,,,,,snan,,snan,,0,,
,,,,,,,,,qnan,,qnan,,0,,
,,,,,,,,,inf,,inf,,0,,
,,,,,,,,,-inf,,-inf,,0,,
,,,,,,,,,-inf,,inf,,0,,
,,,,,,,,,inf,,-inf,,1,,
,,,,,,,,,normal,,inf,,0,,
,,,,,,,,,inf,,normal,,1,,
,,,,,,,,,-inf,,normal,,0,,
,,,,,,,,,normal,,-inf,,1,,
,,,,,,,,,zero,,zero,,0,,
,,,,,,,,,-zero,,-zero,,0,,
,,,,,,,,,-zero,,zero,,0,,
,,,,,,,,,zero,,-zero,,0,,
,,,,,,,,,zero,,normal,,0,,
,,,,,,,,,normal,,zero,,1,,
,,,,,,,,,-zero,,normal,,0,,
,,,,,,,,,subnormal,,normal,,0,,
,,,,,,,,,subnormal,,subnormal,,0,,
,,,,,,,,,subnormal_1,,subnormal,,1,,
,,,,,,,,,normal,,-normal,,1,,
,,,,,,,,,normal,,normal_1,,1,,
,,,,,,,,,normal_1,,normal,,0,,
